Rank,Song,Artist,Peak Position,Weeks in Charts
143,Josh Groban,Josh Groban,8,99
122,Greatest Hits,Foo Fighters,11,99
139,Luck Of The Draw,Bonnie Raitt,2,99
116,Summer Breeze,Seals & Crofts,7,99
152,Channel Orange,Frank Ocean,2,99
129,Savage Garden,Savage Garden,3,99
138,Halfway To Heaven,Brantley Gilbert,4,99
180,Dr. Dre -- 2001,Dr. Dre,2,99
171,Stop Making Sense (Soundtrack),Talking Heads,41,99
39,American Teen,Khalid,4,99
35,÷ (Divide),Ed Sheeran,1,99
84,Moana,Soundtrack,2,99
155,Unleashed,Toby Keith,1,99
99,Third Eye Blind,Third Eye Blind,25,99
88,South Of The Border,Herb Alpert & The Tijuana Brass,6,99
88,24K Magic,Bruno Mars,2,99
65,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,20,99
54,Lungs,Florence + The Machine,14,99
66,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,1,99
130,The Marshall Mathers LP,Eminem,1,99
31,High School Musical,Soundtrack,1,99
110,Under The Table And Dreaming,Dave Matthews Band,11,99
146,Look Up Child,Lauren Daigle,3,99
153,The Phantom Of The Opera,Original London Cast Recording,33,99
138,Dreamland,Glass Animals,7,99
151,Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),3,99
166,The Essential Billy Joel,Billy Joel,15,99
64,Tailgates & Tanlines,Luke Bryan,2,99
167,Infinity,Journey,21,99
192,Private Dancer,Tina Turner,3,99
48,Born In The U.S.A.,Bruce Springsteen,1,99
197,The Gambler,Kenny Rogers,12,99
160,Happier Than Ever,Billie Eilish,1,99
141,Pure Country (Soundtrack),George Strait,6,99
134,Everywhere,Tim McGraw,2,99
170,The First Time,Kelsea Ballerini,31,99
197,II,Boyz II Men,1,99
116,Flyleaf,Flyleaf,57,99
98,Pray 4 Love,Rod Wave,2,99
167,Recovery,Eminem,1,99
156,Greatest Hits,Pitbull,108,99
97,No Shoes; No Shirt; No Problems,Kenny Chesney,1,99
182,Culture,Migos,1,99
95,These Things Happen,G-Eazy,3,99
179,The Eminem Show,Eminem,1,99
110,2001: A Space Odyssey,Soundtrack,24,99
197,I Still Believe In You,Vince Gill,10,99
69,Crash My Party,Luke Bryan,1,99
103,Escape,Journey,1,99
188,The Wrong Side Of Heaven...Volume 1,Five Finger Death Punch,2,99
115,The Life Of Pablo,Kanye West,1,99
160,Bella Donna,Stevie Nicks,1,99
180,Breakin' Away,Jarreau,9,99
156,Pulp Fiction,Soundtrack,21,99
129,Blood; Sweat & Tears,Blood| Sweat & Tears,1,99
72,Starting Over,Chris Stapleton,3,99
55,Here's To The Good Times,Florida Georgia Line,4,99
167,Like A Virgin,Madonna,1,99
76,Spice,Spice Girls,1,99
58,Kane Brown,Kane Brown,5,99
163,Hotel California,Eagles,1,99
67,Golden Road,Keith Urban,11,99
44,Sour,Olivia Rodrigo,1,99
165,AM,Arctic Monkeys,6,99
67,Metallica,Metallica,1,99
9,All The Right Reasons,Nickelback,1,99
21,Red (Taylor's Version),Taylor Swift,1,99
109,Greatest Hits,Bob Seger & The Silver Bullet Band,8,99
18,The College Dropout,Kanye West,2,99
6,Dangerous: The Double Album,Morgan Wallen,1,99
27,Stoney,Post Malone,4,99
112,Wonderfulness,Bill Cosby,7,99
146,Just As I Am,Brantley Gilbert,2,99
69,Chicago Transit Authority,Chicago,17,99
124,All Time Greatest Hits,Lynyrd Skynyrd,56,99
146,Cole Swindell,Cole Swindell,3,99
180,Their Greatest Hits 1971-1975,Eagles,1,99
169,Cleopatra,The Lumineers,1,99
112,The Beatles 1962-1966,The Beatles,3,99
95,The Very Best Of The Eagles,Eagles,3,99
137,The Beatles 1967-1970,The Beatles,1,99
67,Brothers,The Black Keys,3,99
180,Unplugged,Eric Clapton,1,99
159,A Rush Of Blood To The Head,Coldplay,5,99
77,Silk Degrees,Boz Scaggs,2,99
63,x,Ed Sheeran,1,99
192,The Unforgettable Fire,U2,12,99
197,Memories,Barbra Streisand,10,99
184,Houses Of The Holy,Led Zeppelin,1,99
71,Over It,Summer Walker,2,99
183,Jon Secada,Jon Secada,15,99
198,Band On The Run,Paul McCartney And Wings,1,99
199,Behind Closed Doors,Charlie Rich,8,99
57,Yourself Or Someone Like You,matchbox 20,5,99
89,Some Hearts,Carrie Underwood,2,99
81,Starboy,The Weeknd,1,99
92,In The Lonely Hour,Sam Smith,2,99
169,The Grand Illusion,Styx,6,99
40,15,Buckcherry,39,99
127,Off The Wall,Michael Jackson,3,99
